keys,en,de
GGJ2026_DIALOG_LEAVE_THE_OFFICE_DIALOG_LINE_1769943091445_6ZBYPJ,Back to work!,Zurück an die Arbeit!
GGJ2026_DIALOG_LEAVE_THE_OFFICE_DIALOG_LINE_1769943973737_S4BZ4N,And don't think you can come back!,"Und glauben Sie nicht, dass Sie noch einmal wieder kommen brauchen!"
GGJ2026_DIALOG_SUPERMARKET_DIALOG_LINE_1769937172466_V02MRT,I might be late if I getcoffee. Should I do it?,"Ich könnte mir einen Kaffee holen, aber dann komme ich vielleicht zu spät..."
GGJ2026_DIALOG_SUPERMARKET_DIALOG_LINE_1769937261200_P6VVAA,"You enter the store to get a nice, hot, delicious cup of coffee to go.","Du betrittst den Laden um dir eine guten, heißen, leckeren Kaffee to go zu kaufen."
GGJ2026_DIALOG_SUPERMARKET_DIALOG_LINE_1769937293429_V8L893,The machine roars to life and starts to prepare a perfect cup of black gold.,Die Maschine erwacht laut brodelnd zum Leben um mit der Produktion eines Bechers schwarzen Goldes  zu beginnen.
GGJ2026_DIALOG_SUPERMARKET_DIALOG_LINE_1769937320254_26MMJK,Meh. Better then nothing i guess.,"Meh. Naja, besser als gar nichts."
GGJ2026_DIALOG_SUPERMARKET_DIALOG_LINE_1769937364539_5DH2BE,At first the machine produces small droplets. Then they swell to a steady stream of steaming coffee.,"Zuerst tröpfelt der Kaffee nur langsam aus der Maschine. Dann wächst er zu einem stetigen Fluss dampfender, heißer Flüssigkeit."
GGJ2026_DIALOG_SUPERMARKET_DIALOG_LINE_1769937451200_7PI5HU,"The machine sprays out the last cloud of aromatic vapours and returns to its motionles dead state.
The coffee in the cup shimmers like a calm, dark pond in the middle of a forest.
Pure ecstasy.","Die Maschine spuckt die letzten duftenden Wölkchen aus und kehrt zu ihrem toten Ruhezustand zurück.
Der Kaffee im Becher spiegelt das kühle Licht des Ladens, wie ein ruhiger, dunkler Teich inmitten eines Waldes. Die reine Ekstase."
GGJ2026_DIALOG_SUPERMARKET_DIALOG_LINE_1769937636738_RZZG7Z,One coffee is enough for now. I should hurry to work.,Ein Kaffee reicht erst mal. Ich sollte mich beeilen.
GGJ2026_DIALOG_SUPERMARKET_DIALOG_LINE_1769937702325_X3MEER,I should just head to work.,Ich sollte besser gleich zur Arbeit.
GGJ2026_DIALOG_SUPERMARKET_OPTION_1769937222870_IX0SPN,Buy coffee.,Hol dir einen Kaffee.
GGJ2026_DIALOG_SUPERMARKET_OPTION_1769937234085_B4PXRC,Don't buy coffee,Hol dir keinen Kaffee.
GGJ2026_DIALOG_BOSS_PRE_WORK_DIALOG_LINE_1769937588748_CI8HJZ,"Good morning! Cutting it a bit close, aren't we?",
GGJ2026_DIALOG_BOSS_PRE_WORK_DIALOG_LINE_1769937592807_QCWLIL,...,
GGJ2026_DIALOG_BOSS_PRE_WORK_DIALOG_LINE_1769937599036_QU68RG,Get to work then!,
GGJ2026_DIALOG_BOSS_PRE_WORK_DIALOG_LINE_1769937674690_U8TOO4,Well don't just stand there gawking!,
GGJ2026_DIALOG_BOSS_PRE_WORK_DIALOG_LINE_1769937695445_LAFF80,Get to work!,
GGJ2026_DIALOG_BOSS_PRE_WORK_DIALOG_LINE_1769943472773_8RQ2C3,Late again!?,
GGJ2026_DIALOG_BOSS_PRE_WORK_DIALOG_LINE_1769943490136_BH3ESQ,This has got to stop! And you have got to step up!,
GGJ2026_DIALOG_BOSS_PRE_WORK_DIALOG_LINE_1769943527949_N05NB7,One more thing like that and you don't need to come back at all!,
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769938298313_P02ZX8,An old lady blocks your way. The sidewalk isn't wide enough for you to pass her.,"Eine alte Frau blockiert den Weg. Der Fußgängerweg ist nicht breit genug, um an ihr vorbei zu gehen."
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769938335368_Q1PPMS,"Large bags are lying on the floor, food and other groceries strewn everywhere.
A massacre of produce.","Große Tüten liegen auf dem Boden, Essen und andere Einkäufe überall verteilt."
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769938402655_BEYGGR,Really. What should I do now?,Echt jetzt? Was mach ich denn jetzt?
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769938627621_X52GKD,You wait.,Du wartest
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769938663778_LXT81N,For a long time...,Für eine lange Weile...
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769938706839_IB6MXU,It  feels like an eternity....,Es fühlt sich wie eine Ewigkeit an....
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769938712281_18I2QY,You wait almost patiently..,Du bleibst sogar fast geduldig.
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769938743931_TN3IZY,.....,...
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769938748519_TLBJ0Y,Finally. Let's head to work.,Na endlich. Auf zur Arbeit.
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769938801693_0R9JKA,You push her to the side as you pass her,Du schubst sie beiseite und quetschst dich vorbei.
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769938862725_GXIR5Q,"Out of my way, old hag!","Aus dem Weg, alte Schachtel!"
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769939003888_95U58A,Hey!,Hey!
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769939014907_8HMF8I,May I help you?,Kann ich Ihnen helfen?
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769939047592_IW1TAC,"Oh, that is very kind of you!","Ach, das ist aber nett von Ihnen!"
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769939071348_ET7MUB,You pick up her items on the floor and put them back in the bags.,Du sammelst ihre Einkäufe vom Boden ein und verteilst sie in ihre Taschen.
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769939099561_2U0TG5,"You are such a nice, young person. A gentleman! Such a pleasant surprise nowadays.","Sie sind aber ein netter, junger Mann. Ein richtiger Gentleman! Was für eine nette Überraschung heutzutage."
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769939148394_SY0AOK,Not at all. Happy to help.,"Kein Problem, ich helfe gerne."
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769939160787_GQ9ZSW,"Sorry to have kept you. Oh, if I was just ten years younger....","Es tut mir Leid, Sie aufgehalten zu haben. Ach, wenn ich nur zehn Jahre jünger wäre...."
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769939238577_EQBHT7,The old lady is shocked.,Die alte Frau ist schockiert.
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769939267991_WYWCSF,Then she just starts crying.,Dann fängt sie an zu weinen.
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769939286576_076L93,Big tears roll from her eyes. Sobbing and crying in the middle of her bags and groceries.,Fette Tränen laufen ihr über die Wangen. Weinend und kreischend sitzt sie zwischen ihren Einkäufen auf dem Boden.
GGJ2026_DIALOG_GRANDMA_PRE_WORK_DIALOG_LINE_1769939358644_FVWMY2,"You walk on in a hurry, stress levels rising.","Du beeilst dich und merkst trotzdem, wie dein Stress zunimmt."
GGJ2026_DIALOG_GRANDMA_PRE_WORK_OPTION_1769938431650_V5XO2I,Nothing you can do other than wait.,Du kannst nichts tun außer warten.
GGJ2026_DIALOG_GRANDMA_PRE_WORK_OPTION_1769938486788_NEZOPS,Shoulder past her.,Quetsch dich trotzdem vorbei.
GGJ2026_DIALOG_GRANDMA_PRE_WORK_OPTION_1769938506297_7HDO0P,Offer to help her.,Biete ihr Hilfe an.
GGJ2026_DIALOG_DESK_DIALOG_LINE_1769938320214_OU9VE8,Your desk looks as uninspiring as always.,
GGJ2026_DIALOG_DESK_DIALOG_LINE_1769946334963_VXGTL9,Your work day continues...,
GGJ2026_DIALOG_DESK_DIALOG_LINE_1769946468247_ZL83BN,You power up your work computer.,
GGJ2026_DIALOG_DESK_DIALOG_LINE_1769946691928_M7TC9I,You knew you should have gotten a coffee. You're not able to concentrate at all.,
GGJ2026_DIALOG_DESK_DIALOG_LINE_1769946923139_7EEJME,"You may do mediocre work today, but you don't feel like getting up...",
GGJ2026_DIALOG_DESK_DIALOG_LINE_1769951035571_BZZIYU,Your working hours have ended.,
GGJ2026_DIALOG_DESK_DIALOG_LINE_1769951057440_0I0PSU,Do unpaid overtime?,
GGJ2026_DIALOG_DESK_OPTION_1769938364275_VRCL0B,Sit down.,
GGJ2026_DIALOG_DESK_OPTION_1769938435312_IJG55F,Stay standing in front of your desk.,
GGJ2026_DIALOG_DESK_OPTION_1769946373183_XGXT5O,,
GGJ2026_DIALOG_DESK_OPTION_1769946534502_RWSDS6,You check your emails.,
GGJ2026_DIALOG_DESK_OPTION_1769946548361_H963N1,You continue where you left off the previous day.,
GGJ2026_DIALOG_DESK_OPTION_1769946597194_NWA83D,"You stare at the screen, unable to concentrate.",
GGJ2026_DIALOG_DESK_OPTION_1769946770676_9KP3UE,Go to the office kitchen for coffee.,
GGJ2026_DIALOG_DESK_OPTION_1769946859800_0BZO8U,Try to concentrate.,
GGJ2026_DIALOG_DESK_OPTION_1769951067187_9OKN3N,No.,
GGJ2026_DIALOG_WRONG_DESK_DIALOG_LINE_1769938794759_K4MBKC,Yes?,
GGJ2026_DIALOG_WRONG_DESK_DIALOG_LINE_1769938801485_GAQEVM,Did you need something?,
GGJ2026_DIALOG_WRONG_DESK_DIALOG_LINE_1769938816777_0I48OR,You're bothering me.,
GGJ2026_DIALOG_WRONG_DESK_DIALOG_LINE_1769938824050_KAVO5X,Please go stand at your own desk.,
GGJ2026_DIALOG_WRONG_DESK_DIALOG_LINE_1769938918740_HECO3O,Good morning.,
GGJ2026_DIALOG_COLLEAGUE_PRE_WORK_DIALOG_LINE_1769939295674_PJAE8V,...,
GGJ2026_DIALOG_COLLEAGUE_PRE_WORK_DIALOG_LINE_1769939303360_CB1KSO,He's not looking at you.,
GGJ2026_DIALOG_COLLEAGUE_PRE_WORK_DIALOG_LINE_1769939357200_F5SU9P,You stare at him until he looks at you.,
GGJ2026_DIALOG_COLLEAGUE_PRE_WORK_DIALOG_LINE_1769939376836_W1HAE2,Y-yes?,
GGJ2026_DIALOG_COLLEAGUE_PRE_WORK_DIALOG_LINE_1769939610990_G2EWPR,...,
GGJ2026_DIALOG_COLLEAGUE_PRE_WORK_DIALOG_LINE_1769939622335_G57IVS,...,
GGJ2026_DIALOG_COLLEAGUE_PRE_WORK_DIALOG_LINE_1769939634395_ICI18F,You stare at each other awkwardly.,
GGJ2026_DIALOG_COLLEAGUE_PRE_WORK_DIALOG_LINE_1769939674888_3SI3MY,Good morning.,
GGJ2026_DIALOG_COLLEAGUE_PRE_WORK_DIALOG_LINE_1769939682779_LV5B18,"Err, good morning.",
GGJ2026_DIALOG_COLLEAGUE_PRE_WORK_DIALOG_LINE_1769939834780_JHCP9A,Idiot.,
GGJ2026_DIALOG_COLLEAGUE_PRE_WORK_DIALOG_LINE_1769939844777_IRRU4N,"Your colleague looks taken aback for a moment, then he turns away from you.",
GGJ2026_DIALOG_COLLEAGUE_PRE_WORK_DIALOG_LINE_1769939988966_W46WC7,He doesn't look at you,
GGJ2026_DIALOG_COLLEAGUE_PRE_WORK_OPTION_1769939405946_TK9J7U,Ignore him.,
GGJ2026_DIALOG_COLLEAGUE_PRE_WORK_OPTION_1769939417375_Z53INA,Greet him.,
GGJ2026_DIALOG_COLLEAGUE_PRE_WORK_OPTION_1769939444184_Z3CIP4,Insult him.,
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769939589986_XDGL6B,A dog is lying on the ground in front of the supermarket.,
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769939731924_7J9VMS,You ignore the dog. So does the dog.,
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769939791268_APMDIE,A non verbal mutal agreement.,
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769939826631_YZG126,You stop.,
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769939834044_80JPE6,You wonder why this dog sits here.,
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769939927744_90CJEH,No sight of anyone caring for the dog.,
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769939944446_75EN61,The dog returns your look.,
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769939970715_V9V6BP,It may have been a long time since someone realy noticed the poor thing.,
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769940044570_Z4LOQ7,It sits here day in day out. Is it waiting for something?,
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769940225015_1XEYV2,I realy can relate..,
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769940243069_AQ3MAU,You slowly get closer to the dog. Finaly you put forth you hand and offer your empty hand to the dog.,
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769940361466_FFXUML,"The dog looks at you hand. After some hesitation, it sniffs your hand.",
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769940758638_FQ97DL,Happily it accepts your pets.,
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769940867676_WOPL8D,*Woof*,
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769940915168_EPX4A3,You are a good dog!,
GGJ2026_DIALOG_DOG_DIALOG_LINE_1769941452845_VBQ9EP,The dog still looks happy.,
GGJ2026_DIALOG_DOG_OPTION_1769939629612_MCTNXR,Ignore the dog.,
GGJ2026_DIALOG_DOG_OPTION_1769939671033_UHKZ4S,Pet the dog.,
GGJ2026_DIALOG_DOG_OPTION_1769939696299_IEV4HC,wonder,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769940949604_DKM0AD,Did you finish your report? I want it tomorrow morning on my desk!,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769941273875_9RS9NW,I'm not paying you to chit-chat!,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769941284905_41GNCR,Back to work!,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769941337719_I0ME50,Is that attitude you're giving me?,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769941373522_MZQE8Y,I fixed that problem we've been having with the printer.,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769941391311_H6PFCX,Now that's unexpected!,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769941541748_QRHJ66,"Why, I'll never!",
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769941556634_E3YDM3,You are not putting in the work I expect of you. You keep coming in late and your work mentality lately is abysmal!,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769941727305_KPMSFK,Show some spite! Put in some effort!,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769941737230_19NOJS,"If you allow yourself one more plunder, that's it!",
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769942118109_1JDXY7,Now that's more like it. Keep it up!,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769942497368_DTJC8Z,"Oh, I've had it with you!",
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769942511669_3S6I9M,Pack your things and get your sorry self out of my sight!,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769942521862_NKA4BA,And don't come back!,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769942747730_QRB158,Now get to work on that report!,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769944181685_T7EJAD,"Well, good job! About time you showed some initiative!",
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769945275749_RWRNYE,Do you have any idea how much work I'm putting in?,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769945294170_UFOKOE,Just getting to work each day takes some real effort of will with how boring and tedious this job is!,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769945320648_DTYAUC,"Maybe you're the one who needs to change, not me!",
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769945358538_N7YK5O,"You're just getting started, but your boss doesn't let you finish.",
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769945396520_AE3WW9," Why, never in all my days have I had to endure such disrespect!",
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769945838437_D7K8MR,I've had it with you!,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769945851934_TA0VZ2,Get your sorry self out of my sight!,
GGJ2026_DIALOG_BOSS_DURING_WORK_DIALOG_LINE_1769945901938_VX6042,And don't think you need to come back! You're fired!,
GGJ2026_DIALOG_BOSS_DURING_WORK_OPTION_1769941029771_30XMDE,...,
GGJ2026_DIALOG_BOSS_DURING_WORK_OPTION_1769941086049_96VLS0,About that printer...,
GGJ2026_DIALOG_BOSS_DURING_WORK_OPTION_1769945222243_TB7FSE,Vent your frustrations.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942004374_64MJDS,"The coffee mashine looks like a christmas tree.
Lights blinking constantly.",
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942034536_PK531Y,Realy? Someone has to do something about this!,
